instance         | our makespan | microsec   | deviation from given makespans
j12049_6.sm      | 129          | 225400     | 0,78
j12049_7.sm      | 115          | 218700     | 8,49
j12049_8.sm      | 138          | 223300     | 13,11
j12049_9.sm      | 113          | 231900     | 7,62
j1204_1.sm       | 78           | 194200     | 5,41
j1204_10.sm      | 77           | 199400     | 0,00
j1204_2.sm       | 107          | 200800     | 0,00
j1204_3.sm       | 97           | 194200     | 2,11
j1204_4.sm       | 75           | 203700     | -8,54  New Best Makespan!
j1204_5.sm       | 74           | 206400     | 0,00
j1204_6.sm       | 100          | 198900     | 11,11
j1204_7.sm       | 83           | 351200     | -2,35  New Best Makespan!
j1204_8.sm       | 90           | 343000     | 0,00
j1204_9.sm       | 79           | 349900     | 0,00
j12050_1.sm      | 116          | 391100     | -0,85  New Best Makespan!
j12050_10.sm     | 117          | 323000     | 8,33
j12050_2.sm      | 127          | 573100     | 8,55
j12050_3.sm      | 114          | 398900     | 2,70
j12050_4.sm      | 116          | 369100     | 10,48
j12050_5.sm      | 112          | 231900     | 7,69
j12050_6.sm      | 107          | 230600     | 4,90
j12050_7.sm      | 137          | 235700     | 0,00
j12050_8.sm      | 112          | 228400     | 0,00
j12050_9.sm      | 105          | 224800     | 3,96
j12051_1.sm      | 260          | 254800     | 13,04
j12051_10.sm     | 295          | 278100     | 11,74
j12051_2.sm      | 268          | 251200     | 9,39
j12051_3.sm      | 276          | 447900     | 10,40
j12051_4.sm      | 262          | 435800     | 11,49
j12051_5.sm      | 280          | 441800     | 9,38
j12051_6.sm      | 263          | 253900     | 8,68
j12051_7.sm      | 260          | 243200     | 9,24
j12051_8.sm      | 260          | 256900     | 10,64
j12051_9.sm      | 268          | 244800     | 12,13
j12052_1.sm      | 215          | 240200     | 10,26
j12052_10.sm     | 178          | 416400     | 5,33
j12052_2.sm      | 222          | 263000     | 9,36
j12052_3.sm      | 163          | 400300     | 10,14
j12052_4.sm      | 205          | 355100     | 10,81
j12052_5.sm      | 211          | 344900     | 11,05
j12052_6.sm      | 241          | 378200     | 9,55
j12052_7.sm      | 190          | 355000     | 13,10
j12052_8.sm      | 186          | 356800     | 3,91
j12052_9.sm      | 177          | 350000     | 6,63
j12053_1.sm      | 171          | 369900     | 8,23
j12053_10.sm     | 161          | 342100     | 10,27
j12053_2.sm      | 137          | 279300     | 11,38
j12053_3.sm      | 133          | 328000     | 9,02
j12053_4.sm      | 174          | 347000     | 7,41
j12053_5.sm      | 130          | 347600     | 5,69
j12053_6.sm      | 126          | 323700     | 7,69
j12053_7.sm      | 137          | 363000     | 5,38
j12053_8.sm      | 169          | 376100     | 8,33
j12053_9.sm      | 202          | 250200     | 7,45
j12054_1.sm      | 123          | 238200     | 6,96
j12054_10.sm     | 118          | 244000     | -4,84  New Best Makespan!
j12054_2.sm      | 138          | 363100     | 2,99
j12054_3.sm      | 122          | 342000     | 2,52
j12054_4.sm      | 138          | 328300     | 8,66
j12054_5.sm      | 133          | 338700     | 15,65
j12054_6.sm      | 125          | 233600     | 4,17
j12054_7.sm      | 125          | 231100     | 4,17
j12054_8.sm      | 118          | 319700     | 4,42
j12054_9.sm      | 123          | 350600     | 5,13
j12055_1.sm      | 119          | 340500     | 9,17
j12055_10.sm     | 103          | 226500     | -2,83  New Best Makespan!
j12055_2.sm      | 87           | 229700     | 4,82
j12055_3.sm      | 127          | 223100     | 0,79
j12055_4.sm      | 101          | 225300     | 6,32
j12055_5.sm      | 109          | 229400     | 2,83
j12055_6.sm      | 110          | 233900     | -0,90  New Best Makespan!
j12055_7.sm      | 105          | 225900     | 0,00
j12055_8.sm      | 114          | 230200     | 7,55
j12055_9.sm      | 102          | 219600     | 5,15
j12056_1.sm      | 291          | 276800     | 14,57
j12056_10.sm     | 313          | 263200     | 9,44
j12056_2.sm      | 248          | 259100     | 8,30
j12056_3.sm      | 293          | 399900     | 10,57
j12056_4.sm      | 267          | 256100     | 8,54
j12056_5.sm      | 337          | 261500     | 6,98
j12056_6.sm      | 263          | 256600     | 10,04
j12056_7.sm      | 357          | 256600     | 15,16
j12056_8.sm      | 352          | 254400     | 12,46
j12056_9.sm      | 351          | 259200     | 8,67
j12057_1.sm      | 222          | 248900     | 7,77
j12057_10.sm     | 200          | 249900     | 6,95
j12057_2.sm      | 191          | 260400     | 9,77
j12057_3.sm      | 219          | 402300     | 8,42
j12057_4.sm      | 241          | 314500     | 11,06
j12057_5.sm      | 211          | 268700     | 9,33
j12057_6.sm      | 230          | 291200     | 13,30
j12057_7.sm      | 203          | 266400     | 11,54
j12057_8.sm      | 197          | 262000     | 11,30
j12057_9.sm      | 197          | 416100     | 7,07
j12058_1.sm      | 166          | 416200     | 7,10
j12058_10.sm     | 154          | 312400     | 5,48
j12058_2.sm      | 146          | 401500     | 6,57
j12058_3.sm      | 140          | 402700     | 7,69
j12058_4.sm      | 178          | 418800     | 10,56
j12058_5.sm      | 144          | 231700     | 12,50
j12058_6.sm      | 160          | 232500     | 4,58
j12058_7.sm      | 173          | 275300     | 6,13
j12058_8.sm      | 159          | 399500     | 11,19
j12058_9.sm      | 155          | 237400     | 9,93
j12059_1.sm      | 125          | 242100     | 3,31
j12059_10.sm     | 148          | 243700     | 2,78
j12059_2.sm      | 122          | 232500     | 7,02
j12059_3.sm      | 120          | 228300     | 3,45
j12059_4.sm      | 124          | 419400     | 7,83
j12059_5.sm      | 122          | 395600     | 7,96
j12059_6.sm      | 135          | 342300     | 8,00
j12059_7.sm      | 133          | 357100     | 9,92
j12059_8.sm      | 126          | 343400     | 5,88
j12059_9.sm      | 131          | 327100     | -2,96  New Best Makespan!
j1205_1.sm       | 92           | 287900     | 0,00
j1205_10.sm      | 92           | 261000     | 0,00
j1205_2.sm       | 81           | 270100     | 1,25
j1205_3.sm       | 72           | 269800     | -5,26  New Best Makespan!
j1205_4.sm       | 97           | 266500     | 0,00
j1205_5.sm       | 77           | 347800     | 0,00
j1205_6.sm       | 89           | 289800     | 1,14
j1205_7.sm       | 84           | 198500     | 0,00
j1205_8.sm       | 80           | 293000     | 2,56
j1205_9.sm       | 108          | 310800     | 1,89
j12060_1.sm      | 110          | 334300     | 8,91
j12060_10.sm     | 99           | 318300     | 6,45
j12060_2.sm      | 94           | 313700     | 6,82
j12060_3.sm      | 105          | 223600     | 11,70
j12060_4.sm      | 117          | 222300     | 6,36
j12060_5.sm      | 124          | 232100     | 11,71
j12060_6.sm      | 121          | 228300     | 9,01
j12060_7.sm      | 108          | 231500     | 9,09
j12060_8.sm      | 114          | 388700     | 7,55
j12060_9.sm      | 101          | 382600     | 0,00
